data path:
['data/XJTU data/2C_battery-6.csv', 'data/XJTU data/2C_battery-2.csv', 'data/XJTU data/2C_battery-5.csv', 'data/XJTU data/2C_battery-1.csv', 'data/XJTU data/2C_battery-7.csv', 'data/XJTU data/2C_battery-3.csv']
data path:
['data/XJTU data/2C_battery-4.csv', 'data/XJTU data/2C_battery-8.csv']
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.724103
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:001, data loss:0.305547
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.289637
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:002, data loss:0.114861
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.109224
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:003, data loss:0.083310
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.113299
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:004, data loss:0.053099
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.056292
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:005, data loss:0.007859
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.033811
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:006, data loss:0.021374
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.036342
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:007, data loss:0.015788
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.020557
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:008, data loss:0.009244
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.011650
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:009, data loss:0.002466
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.009928
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:010, data loss:0.008615
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.007720
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:011, data loss:0.005477
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.005501
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:012, data loss:0.002651
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.003996
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:013, data loss:0.006099
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.003747
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:014, data loss:0.002593
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.003050
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:015, data loss:0.003785
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002534
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:016, data loss:0.002707
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002582
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:017, data loss:0.004131
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.002062
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:018, data loss:0.002953
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001781
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:019, data loss:0.003452
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001796
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:020, data loss:0.003216
