data path:
['data/XJTU data/R3_battery-5.csv', 'data/XJTU data/R3_battery-3.csv', 'data/XJTU data/R3_battery-7.csv', 'data/XJTU data/R3_battery-6.csv', 'data/XJTU data/R3_battery-1.csv', 'data/XJTU data/R3_battery-2.csv']
data path:
['data/XJTU data/R3_battery-4.csv', 'data/XJTU data/R3_battery-8.csv']
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.298086
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:001, data loss:0.039400
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.046672
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:002, data loss:0.043238
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.040573
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:003, data loss:0.007602
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.020305
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:004, data loss:0.008733
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.017466
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:005, data loss:0.005025
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.008977
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:006, data loss:0.001391
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.007673
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:007, data loss:0.002091
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.005022
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:008, data loss:0.000576
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003215
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:009, data loss:0.001078
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002544
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:010, data loss:0.000846
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002200
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:011, data loss:0.001324
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001562
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:012, data loss:0.000566
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001163
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:013, data loss:0.001453
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001079
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:014, data loss:0.000818
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.000966
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:015, data loss:0.000700
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.000878
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:016, data loss:0.001056
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.000808
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:017, data loss:0.001057
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.000838
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:018, data loss:0.001082
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000679
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:019, data loss:0.000979
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000856
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:020, data loss:0.000927
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000684
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:021, data loss:0.001066
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000720
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:022, data loss:0.000824
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000690
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:023, data loss:0.000765
