data path:
['data/XJTU data/RW_battery-3.csv', 'data/XJTU data/RW_battery-2.csv', 'data/XJTU data/RW_battery-6.csv', 'data/XJTU data/RW_battery-7.csv', 'data/XJTU data/RW_battery-5.csv', 'data/XJTU data/RW_battery-1.csv']
data path:
['data/XJTU data/RW_battery-4.csv', 'data/XJTU data/RW_battery-8.csv']
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:1.162408
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.775285
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.687954
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.419028
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.371024
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.219688
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.237383
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.242672
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.248151
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.214098
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.175796
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.069521
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.065583
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.028015
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.078864
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.063576
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.093094
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.018948
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.037473
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:010, data loss:0.037560
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.032176
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:011, data loss:0.041160
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.024959
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:012, data loss:0.012260
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.035835
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:013, data loss:0.010082
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.032723
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:014, data loss:0.009147
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.013412
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:015, data loss:0.023127
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.012474
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:016, data loss:0.016084
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.008385
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:017, data loss:0.002356
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.008666
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:018, data loss:0.001570
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.014620
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:019, data loss:0.001268
